,Analyst,Technology,Comments,Date,Comment.Sentiment,Tags,fy_quarter2,fy_quarter
1273,William Fellows,vSphere 7 with K8s,i like it,2/25/2020,Positive,Messaging,2020.1,FY21 Q1
1274,Jean Atelsek,vSphere 7 with K8s,one thing i heard at na kubecon lots of developers missing some of the dials they could turn in vsphere to manage security access identity and so on people were saying they were frustrated by not having the granularity of control in kubernetes that they have in vsphere,2/25/2020,Positive,Features or products (included/missing/recommended),2020.1,FY21 Q1
1275,Sid Nag,Tanzu Observability,wavefront is more than kubernetes you can do telemetry across different environments  do you have any plans of using wavefront broadly in terms of where is the best place to run things whether kubernetes or traditional vmbased environments that would be an interesting thing to build also integrating cloudhealth,2/25/2020,Advice,Features or products (included/missing/recommended),2020.1,FY21 Q1
1276,Sara Radicati,Workspace ONE,internal use only  vmwareare will be named a top player in the upcoming radicati uem market quadrant 2020 vmware is clearly the leader as citrix and microsoft fall way behind this year  target publication is week of march 16th,2/25/2020,Positive,Strategy,2020.1,FY21 Q1
1277,Andrew Lerner,Avi Networks,service mesh is increasingly coming up in inquiry discussions for adc,2/24/2020,Neutral,Adoption,2020.1,FY21 Q1
1278,Andrew Lerner,Avi Networks,2550 calls a month on sm a third of them on adc,2/24/2020,Neutral,Adoption,2020.1,FY21 Q1
1279,Andrew Lerner,Avi Networks,last 8months the adc calls were on the decline but now stabilized,2/24/2020,Neutral,Adoption,2020.1,FY21 Q1
1280,Andrew Lerner,Avi Networks,150200 calls a year  half of these are end users the other half are vendors or investors,2/24/2020,Neutral,Customer Related,2020.1,FY21 Q1
1281,Andrew Lerner,Avi Networks,andrew takes end user calls  50 of them are contract reviews maintenance reviews new investment calls are usually in emerging markets like lat am africa,2/24/2020,Neutral,Customer Related,2020.1,FY21 Q1
1282,Andrew Lerner,Avi Networks,sm calls not coming to andrew  going to cloud native teams  anne thomas gary olliffe simon richard fintan ryan arun c,2/24/2020,Neutral,Customer Related,2020.1,FY21 Q1
1283,Andrew Lerner,Avi Networks,vmwareare has dropped in terms of mentions  reason being that a lot of the calls that used to come to gartner on avi were exploratory calls inquiring to know more about a new company  the vmware brand is taking away a lot the calls now,2/24/2020,Neutral,Adoption,2020.1,FY21 Q1
1284,Andrew Lerner,Avi Networks,seeing a spike in citrix calls  citrix is redoing and is presenting to customers a very different pricing model versus traditional citrix with their zerocapacity hardware and the pool adc capacity  and theres a lot of confusion from customers over that,2/24/2020,Neutral,Adoption,2020.1,FY21 Q1
1285,Andrew Lerner,Avi Networks,more calls now on nginx  we see f5 starting to very lightly position nginx  f5 changing kind of the pricing model and charging more that frustrated some customers,2/24/2020,Neutral,Adoption,2020.1,FY21 Q1
1286,Andrew Lerner,Avi Networks,"on why calls have dropped given the new cloud native capabilities and so on that amazon and azure have introduced and why they remain tactical	the calls are probably coming in packaged under a broader conversation and going to the cloud native folks 	its early in terms of mainstream people calling about it combined with the fact that enterprises that are calling about it are being branded under different terminology like cloud native or containers or kubernetes and going to the other analysts not the adc analysts",2/24/2020,Neutral,Adoption,2020.1,FY21 Q1
1287,Steve McDowell,Cloud Foundation,vcf  tanzu has to be as seamless and as frictionless for the developers to be able to get access to these services and these apis as it is in a cloud model devs wont tolerate friction if its slowing them down,2/24/2020,Neutral,Adoption,2020.1,FY21 Q1
1288,Patrick Kelly,Uhana,the few vendors of ai in telecom that stand out and continue to push the boundaries of ai include ciena blue planet uhana by vmwareare and nokia their success is driven by identifying the data sets and making sure that enough data is available to drive the machine learning models each has a compelling concise business case that is defendable finally each does not over rotate on their marketing it is on point and probably most importantly has the customer endorsements to back it up,2/24/2020,Positive,Features or products (included/missing/recommended),2020.1,FY21 Q1
1289,Stephen Elliot,vSphere 7 with K8s,its nice to see vmwareare meeting different personas or customers where they are i think that will resonate really well opportunity to talk about the single source of truth still relevant today with regards to how different teams think about security policies youre presenting a unified platform here,2/24/2020,Positive,Messaging,2020.1,FY21 Q1
1290,Stephen Elliot,vSphere 7 with K8s,one thing to keep in mind is where do you draw the line in terms of transparency with devs and operators make sure theres a balance there so theres a level of trust rather than fingerpointing if youre going to apply policies to different workloads what does that mean to a particular group opportunity there to build out how the product can provide a certain level of standardization while being flexible enough,2/24/2020,Positive,Developer Strategy,2020.1,FY21 Q1
1291,Stephen Elliot,vSphere 7 with K8s,pretty clever how you structured certain workloads transparency for ops and dev sides,2/24/2020,Positive,Developer Strategy,2020.1,FY21 Q1
1292,Michael Warrilow,vSphere 7 with K8s,i think this is great work i think it will be very well received,2/24/2020,Positive,Messaging,2020.1,FY21 Q1
1293,Michael Warrilow,vSphere 7 with K8s,i think people will love it its a pretty significant architectural change and validation of vmwareare treating containers as first class citizens which youve been trying to do in various ways for a while now this is going to get a lot of interest keen to keep hearing about this and very excited to see what happens,2/24/2020,Positive,Messaging,2020.1,FY21 Q1
1294,Dave Gruber,Workspace ONE,esg data point of the week  72 of organizations are strongly considering replacing their current endpoint security solution wiht a consolidated endpoint security platform in the next 1218 months,2/24/2020,Neutral,Customer Related,2020.1,FY21 Q1
